date,NonComm_Positions_Long_All,NonComm_Positions_Short_All,net,Open_Interest_All
2018-08-28,50230,96271,-46041,185082
2018-09-04,47572,99504,-51932,185347
2018-09-11,48057,101943,-53886,193428
2018-09-18,49752,113507,-63755,200221
2018-09-25,47253,131972,-84719,215376
2018-10-02,56074,170120,-114046,252277
2018-10-09,47034,162235,-115201,253374
2018-10-16,30096,130717,-100621,211210
2018-10-23,29922,122726,-92804,205643
2018-10-30,28854,120474,-91620,203113
2018-11-06,33060,122182,-89122,209453
2018-11-13,40192,142486,-102294,231730
2018-11-20,33462,133527,-100065,223144
2018-11-27,35817,140141,-104324,231711
2018-12-04,32717,142483,-109766,226835
2018-12-11,25495,123101,-97606,213055
2018-12-18,26957,129728,-102771,214868
2018-12-24,33281,132370,-99089,224458
2018-12-31,32712,121335,-88623,216224
2019-01-08,42727,104041,-61314,230524
2019-01-15,38686,85107,-46421,229295
2019-01-22,28403,68070,-39667,212563
2019-01-29,27001,60346,-33345,204816
2019-02-05,20752,52162,-31410,192789
2019-02-12,24541,55283,-30742,185725
2019-02-19,24844,62305,-37461,184023
2019-02-26,27365,67019,-39654,186158
2019-03-05,33421,84727,-51306,207083
2019-03-12,22144,80925,-58781,196766
2019-03-19,20081,79302,-59221,158074
2019-03-26,18323,80444,-62121,157145
2019-04-02,20462,83203,-62741,156838
2019-04-09,19914,91434,-71520,165736
2019-04-16,31807,118913,-87106,200018
2019-04-23,28121,122535,-94414,207316
2019-04-30,20578,120177,-99599,203323
2019-05-07,25869,117586,-91717,201462
2019-05-14,35915,97495,-61580,180573
2019-05-21,27540,82732,-55192,170834
2019-05-28,25803,81380,-55577,169790
2019-06-04,27437,71826,-44389,167810
2019-06-11,20786,65951,-45165,169387
2019-06-18,28169,44734,-16565,123629
2019-06-25,31090,41237,-10147,139439
2019-07-02,34198,35425,-1227,139355
2019-07-09,35346,38997,-3651,135737
2019-07-16,32905,44285,-11380,130304
2019-07-23,34642,44019,-9377,136245
2019-07-30,37028,41246,-4218,138842
2019-08-06,46225,35664,10561,153338
2019-08-13,51764,27022,24742,160271
2019-08-20,49984,18830,31154,154662
2019-08-27,59795,26188,33607,157862
2019-09-03,57222,29540,27682,157788
2019-09-10,56579,23988,32591,151397
2019-09-17,50842,26980,23862,130940
2019-09-24,45759,32976,12783,142026
2019-10-01,57893,43976,13917,151860
2019-10-08,52803,41791,11012,150019
2019-10-15,46416,53057,-6641,157707
2019-10-22,41556,59721,-18165,159250
2019-10-29,39185,58883,-19698,163486
2019-11-05,43996,70601,-26605,177106
2019-11-12,43964,78961,-34997,183480
2019-11-19,45423,80454,-35031,182445
2019-11-26,49278,88869,-39591,196894
2019-12-03,48312,96135,-47823,214223
2019-12-10,41843,85525,-43682,198700
2019-12-17,43418,85480,-42062,178529
2019-12-24,40592,74134,-33542,173142
2019-12-31,43668,68970,-25302,174966
2020-01-07,47846,60094,-12248,162094
2020-01-14,49720,81150,-31430,183863
2020-01-21,50596,95297,-44701,203579
2020-01-28,45676,81701,-36025,184919
2020-02-04,57672,79570,-21898,190079
2020-02-11,54805,80993,-26188,193822
2020-02-18,58605,85826,-27221,203631
2020-02-25,53855,110244,-56389,223904
2020-03-03,50598,92922,-42324,198404
2020-03-10,61732,53575,8157,159128
2020-03-17,57286,24351,32935,125769
2020-03-24,56528,32665,23863,125594
2020-03-31,48444,30162,18282,120270
2020-04-07,49249,26839,22410,118595
2020-04-14,49863,27220,22643,122929
2020-04-21,53730,27704,26026,128272
2020-04-28,59962,27636,32326,143835
2020-05-05,56634,29420,27214,152042
2020-05-12,56307,28370,27937,153370
2020-05-19,52038,24568,27470,147975
2020-05-26,57873,23266,34607,156827
2020-06-02,61958,29379,32579,158743
2020-06-09,48862,31400,17462,155159
2020-06-16,43126,21016,22110,127287
2020-06-23,50490,23032,27458,144549
2020-06-30,42755,18894,23861,137362
2020-07-07,44043,27231,16812,138313
2020-07-14,45111,26785,18326,135263
2020-07-21,50854,31547,19307,142686
2020-07-28,62924,34417,28507,170269
2020-08-04,52073,20644,31429,157968
2020-08-11,48158,21142,27016,150149
2020-08-18,41717,21133,20584,147076
2020-08-25,44978,21362,23616,147553
2020-09-01,46654,17050,29604,145922
2020-09-08,44850,23108,21742,151546
2020-09-15,50360,27471,22889,148912
2020-09-22,59033,29452,29581,169251
2020-09-29,47535,22746,24789,158298
2020-10-06,45779,24677,21102,163024
2020-10-13,47245,27269,19976,165616
2020-10-20,46524,32341,14183,166091
2020-10-27,46131,28238,17893,177622
2020-11-03,51012,22914,28098,184751
2020-11-10,55644,13750,41894,183518
2020-11-17,40313,10646,29667,165073
2020-11-24,54472,14230,40242,179503
2020-12-01,62449,14946,47503,185873
2020-12-08,63585,15419,48166,193326
2020-12-15,65376,21413,43963,193317
2020-12-21,66970,20877,46093,196845
2020-12-29,63577,16227,47350,194454
2021-01-05,69163,18973,50190,206963
2021-01-12,63857,13337,50520,190811
