ym,days,close_eom,ret_m_pct,rv20_max,rv20_mean,max_abs_ret_pct,max_range_pct,sig3_days,vol_spot_mean,vol_band
2020-03,21,108.42,-0.02766634406912578,21.04978855945889,16.72013714862996,3.4227528794974362,2.9342723004694835,3,9221.714285714286,無秩序
2020-04,21,106.6,-0.9894601401067096,21.180401112367562,12.706228134264341,0.8739304046556521,0.8701227331012902,0,4153.238095238095,無秩序
2020-05,18,107.21,0.24280923397335738,6.355415275227498,5.437020642479797,0.7492074752532852,0.6156142150918726,0,3532.277777777778,
2020-06,22,107.73,0.18582185036662746,7.803377757447021,7.085802073809426,1.4350352048078505,0.6902341199514923,0,4395.045454545455,
2020-07,21,104.45,-2.9433310441339176,6.914290088161415,4.94138479157977,1.2706651269114801,0.6251776072747908,1,3872.7619047619046,
2020-08,20,105.83,-0.06612195017277132,9.456188965672563,8.47373872774751,1.3786764604786053,0.8862072216460806,1,3674.05,
2020-09,20,105.62,-0.037864445738263475,5.975226622498734,4.894039034392453,0.4739345363896559,0.4676911329579165,0,3397.2,
2020-10,22,104.36,-1.1243567708994184,4.252561678993926,3.94891815691574,0.5931328974137038,0.6750332762882618,0,3212.681818181818,
2020-11,19,104.03,-0.7851438265125009,8.142843592177886,7.055734731944981,1.476820089535052,0.9344012204424006,1,3852.157894736842,
2020-12,22,103.33,-0.9727047367983175,7.948058647789641,5.266722031541623,0.5975345458215902,0.39732532222114214,0,3325.7272727272725,
2021-01,19,104.55,1.571343846109922,5.283557655997357,4.79436710602028,0.605800208391511,0.44694908666926536,0,3818.2105263157896,
2021-02,18,106.09,1.2711231668933132,5.053547283673474,4.627324061731802,0.6753247713643638,0.5467056272975893,0,4331.0,
2021-03,23,110.74,3.8101599663077,5.823825438136714,4.973343318107317,1.0305062646398988,0.623081090843415,1,4675.652173913043,
2021-04,21,108.89,-1.6395303039562978,4.947081722570474,4.479606457255124,0.6263837724325649,0.5821474773609272,0,4353.571428571428,
2021-05,18,109.72,0.3469372602549143,5.650310379085074,5.2533149587179055,0.7964522350275308,0.5233198677928692,0,3772.8888888888887,
2021-06,22,110.55,0.9634686418121747,5.485835350054314,4.9719420829601795,0.6921073069333952,0.4816868126874499,0,3672.7727272727275,
2021-07,20,109.53,-1.5851063279532225,5.940378678287657,5.672445125715521,0.7712237109861674,0.8015301940067489,0,3882.9,
2021-08,21,109.82,0.13668050786089952,5.909551827878531,5.270610291607129,0.8101632770758294,0.42812898524321263,0,3187.9523809523807,
2021-09,20,111.88,1.3316734490763946,5.762797095171413,4.857185448353734,0.9276166915311843,0.44044943820225535,0,4427.8,
2021-10,21,113.61,2.0811850412204014,6.81189482309279,6.225024638861297,0.7386018004572712,0.5851582587108756,0,4672.047619047619,
2021-11,20,113.19,-1.0895459685294726,8.705748665051551,6.997718515241353,1.0629129518340517,1.0598230708592395,0,5620.85,
2021-12,22,115.12,1.487731999323056,8.309418889886713,6.177630406771764,0.4321184906440726,0.6003354815926483,0,4423.818181818182,
2022-01,19,115.43,-0.26820105188717236,6.993901333286721,5.384375681014902,0.8615866361146753,0.5223295899712793,0,4906.684210526316,
2022-02,18,115.5,0.48602768822528836,7.135401771766402,5.921283607655088,0.5741642567675183,0.6107136625370815,0,4789.722222222223,
2022-03,22,121.64,5.578596883642736,10.43368096710438,6.076602973912438,1.782926701100461,1.534421925002055,3,6436.636363636364,
2022-04,20,130.6,6.288598227877188,11.159456549843187,10.345664631713856,2.0187080974630334,1.7764165390505307,1,6777.5,
2022-05,19,127.76,-1.8226742608627624,11.076562145534874,10.202124467005845,0.8732330130498934,1.125426886060243,0,5358.789473684211,
2022-06,22,136.2,5.121601164861159,9.552702674238924,8.486069261980573,1.517825298939967,1.8169632884056874,0,5475.727272727273,
2022-07,20,132.78,-1.887481898453951,12.350302925281516,8.54606883509707,2.086824871180635,1.6267510167193828,1,5429.8,警戒
2022-08,22,138.6,4.455671363749537,15.708043211611264,14.361528565709095,1.8103126462248493,1.1935144873141983,0,4419.454545454545,無秩序
2022-09,20,144.32,3.5474965614373466,11.472233292856924,9.985191259601137,1.6536251245683673,1.6600356701879655,0,6518.75,
2022-10,20,148.01,2.0339221476938607,10.938137572586037,8.787308693332516,1.2363769290384499,2.95457590781187,0,5381.9,
2022-11,20,138.53,-6.5652280234356795,17.165663699008135,13.706831888069138,3.562115736863719,1.1640517677680464,1,4904.75,無秩序
